Date,High,Low,Open,Close,Volume,Adj Close
2020-03-25,4920.0,4400.0498046875,4450.0,4830.2998046875,797270.0,4830.2998046875
2020-03-26,5554.7998046875,4825.2001953125,4975.0,5147.25,1019123.0,5147.25
2020-03-27,5660.0,4675.0,5477.0,4890.60009765625,1291794.0,4890.60009765625
2020-03-30,4779.60009765625,4555.0,4700.0,4661.14990234375,750911.0,4661.14990234375
2020-03-31,4879.5498046875,4430.0,4810.0,4591.2001953125,1156110.0,4591.2001953125
2020-04-01,4667.7001953125,4460.0,4560.0,4501.89990234375,757766.0,4501.89990234375
2020-04-03,4646.0,4430.0,4560.0,4510.75,722311.0,4510.75
2020-04-07,4818.7998046875,4329.0498046875,4620.0,4724.89990234375,1130714.0,4724.89990234375
2020-04-08,4950.0,4537.7998046875,4575.0,4608.5,1113055.0,4608.5
2020-04-09,4848.0,4662.0,4705.0,4820.25,864221.0,4820.25
